permission,protection_level
android.permission.MANAGE_DEVICE_POLICY_SUPPORT_MESSAGE,internal
android.permission.MANAGE_DEVICE_POLICY_SUSPEND_PERSONAL_APPS,internal
android.permission.MANAGE_DEVICE_POLICY_SYSTEM_APPS,internal
android.permission.MANAGE_DEVICE_POLICY_SYSTEM_DIALOGS,internal
android.permission.MANAGE_DEVICE_POLICY_SYSTEM_UPDATES,internal
android.permission.MANAGE_DEVICE_POLICY_THREAD_NETWORK,internal
android.permission.MANAGE_DEVICE_POLICY_TIME,internal
android.permission.MANAGE_DEVICE_POLICY_USB_DATA_SIGNALLING,internal
android.permission.MANAGE_DEVICE_POLICY_USB_FILE_TRANSFER,internal
android.permission.MANAGE_DEVICE_POLICY_USERS,internal
android.permission.MANAGE_DEVICE_POLICY_VPN,internal
android.permission.MANAGE_DEVICE_POLICY_WALLPAPER,internal
android.permission.MANAGE_DEVICE_POLICY_WIFI,internal
android.permission.MANAGE_DEVICE_POLICY_WINDOWS,internal
android.permission.MANAGE_DEVICE_POLICY_WIPE_DATA,internal
android.permission.MANAGE_EXTERNAL_STORAGE,signature
android.permission.MANAGE_MEDIA,signature
android.permission.MANAGE_ONGOING_CALLS,signature
android.permission.MANAGE_OWN_CALLS,normal
android.permission.MODIFY_AUDIO_SETTINGS,normal
android.permission.NEARBY_WIFI_DEVICES,dangerous
android.permission.NFC,normal
android.permission.NFC_PREFERRED_PAYMENT_INFO,normal
android.permission.NFC_TRANSACTION_EVENT,normal
android.permission.PACKAGE_USAGE_STATS,signature
android.permission.POST_NOTIFICATIONS,dangerous
android.permission.POST_PROMOTED_NOTIFICATIONS,normal
android.permission.PROCESS_OUTGOING_CALLS,dangerous
android.permission.PROVIDE_OWN_AUTOFILL_SUGGESTIONS,internal
android.permission.PROVIDE_REMOTE_CREDENTIALS,signature
android.permission.QUERY_ALL_PACKAGES,normal
android.permission.RANGING,dangerous
android.permission.READ_CALENDAR,dangerous
android.permission.READ_CALL_LOG,dangerous
android.permission.READ_COLOR_ZONES,normal
android.permission.READ_CONTACTS,dangerous
android.permission.READ_EXTERNAL_STORAGE,dangerous
android.permission.READ_MEDIA_AUDIO,dangerous
android.permission.READ_MEDIA_IMAGES,dangerous
android.permission.READ_MEDIA_VIDEO,dangerous
android.permission.READ_MEDIA_VISUAL_USER_SELECTED,dangerous
android.permission.READ_PHONE_NUMBERS,dangerous
android.permission.READ_PHONE_STATE,dangerous
android.permission.READ_SMS,dangerous
android.permission.READ_SYNC_SETTINGS,normal
android.permission.READ_SYNC_STATS,normal
android.permission.RECEIVE_BOOT_COMPLETED,normal
android.permission.RECEIVE_MMS,dangerous
android.permission.RECEIVE_SENSITIVE_NOTIFICATIONS,signature
android.permission.RECEIVE_SMS,dangerous
android.permission.RECEIVE_WAP_PUSH,dangerous
android.permission.RECORD_AUDIO,dangerous
android.permission.REORDER_TASKS,normal
android.permission.REQUEST_COMPANION_PROFILE_GLASSES,normal
android.permission.REQUEST_COMPANION_PROFILE_WATCH,normal
android.permission.REQUEST_COMPANION_RUN_IN_BACKGROUND,normal
android.permission.REQUEST_COMPANION_START_FOREGROUND_SERVICES_FROM_BACKGROUND,normal
android.permission.REQUEST_COMPANION_USE_DATA_IN_BACKGROUND,normal
android.permission.REQUEST_DELETE_PACKAGES,normal
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,normal
android.permission.REQUEST_INSTALL_PACKAGES,signature
android.permission.REQUEST_PASSWORD_COMPLEXITY,normal
android.permission.RUN_USER_INITIATED_JOBS,normal
android.permission.SCHEDULE_EXACT_ALARM,signature
android.permission.SEND_SMS,dangerous
android.permission.SET_WALLPAPER,normal
android.permission.SET_WALLPAPER_HINTS,normal
android.permission.SMS_FINANCIAL_TRANSACTIONS,signature
android.permission.START_VIEW_APP_FEATURES,signature
android.permission.START_VIEW_PERMISSION_USAGE,signature
android.permission.SUBSCRIBE_TO_KEYGUARD_LOCKED_STATE,signature
android.permission.SYSTEM_ALERT_WINDOW,signature
android.permission.TRANSMIT_IR,normal
android.permission.UPDATE_PACKAGES_WITHOUT_USER_ACTION,normal
android.permission.USE_BIOMETRIC,normal
android.permission.USE_FINGERPRINT,normal
android.permission.USE_FULL_SCREEN_INTENT,normal
android.permission.USE_ICC_AUTH_WITH_DEVICE_IDENTIFIER,signature
android.permission.USE_SIP,dangerous
android.permission.UWB_RANGING,dangerous
android.permission.VIBRATE,normal
android.permission.WAKE_LOCK,normal
android.permission.WRITE_CALENDAR,dangerous
android.permission.WRITE_CALL_LOG,dangerous
android.permission.WRITE_CONTACTS,dangerous
android.permission.WRITE_EXTERNAL_STORAGE,dangerous
android.permission.WRITE_SETTINGS,signature
android.permission.WRITE_SYNC_SETTINGS,normal
